335243.svs,0,0,1,0
355086.svs,0,0,1,0
282174.svs,0,1,0,0
242897.svs,0,0,0,0
207547.svs,1,0,0,0
235416.svs,0,0,1,0
267121.svs,0,0,1,0
000033392900478123.mrxs,0,0,1,0
218745.svs,0,1,0,0
000034286500561544.mrxs,0,0,1,0
166758.svs,0,0,1,0
276322.svs,0,0,1,1
261144.svs,0,0,1,0
000033853500516818.mrxs,0,0,1,0
355023.svs,0,0,1,0
000034133400545753.mrxs,1,0,0,0
196611.svs,0,0,1,0
219132.svs,0,0,1,0
000034535500588534.mrxs,1,0,1,0
300668.svs,0,0,1,0
000034806000612377.mrxs,0,0,1,0
225421.svs,0,0,1,0
293101.svs,0,1,0,0
139230.svs,0,0,1,0
320606.svs,1,0,1,0
000033392900478121.mrxs,0,0,1,0
254142.svs,0,0,1,0
281251.svs,0,0,1,1
000034442800577371.mrxs,0,0,1,0
254234.svs,0,0,0,0
000033390700478005.mrxs,0,0,1,0
114129.svs,0,0,1,0
257047.svs,1,1,0,0
000034301100562449.mrxs,1,0,0,0
310967.svs,0,0,1,0
246180.svs,0,0,1,0
254172.svs,1,1,0,0
202183.svs,0,0,1,0
210244.svs,0,1,0,0
355090.svs,0,0,0,0
355012.svs,0,0,0,1
355065.svs,0,0,1,0
355134.svs,0,0,1,0
000034054600539177.mrxs,1,0,1,0
151486.svs,0,0,0,0
355029.svs,0,0,1,0
138498.svs,0,0,1,0
133976.svs,0,0,1,0
145786.svs,0,0,1,1
000033547100489466.mrxs,0,1,0,0
000034098300541197.mrxs,1,0,1,0
175953.svs,0,0,1,0
148843.svs,0,0,1,0
150671.svs,0,0,0,0
283964.svs,0,0,1,0
205835.svs,0,0,1,0
000034133300545747.mrxs,0,0,1,0
193334.svs,0,0,1,0
000033275700469611.mrxs,1,1,1,0
000033275700469609.mrxs,0,0,0,1
290710.svs,0,0,1,0
000034048100535229.mrxs,0,1,0,0
292989.svs,0,0,1,0
354997.svs,1,0,0,0
303600.svs,1,1,0,0
310758.svs,0,0,1,0
000034058200538858.mrxs,0,1,0,0
265575.svs,1,0,1,0
217278.svs,1,0,1,0
220532.svs,0,0,1,0
261180.svs,0,1,0,0
196910.svs,1,1,0,0
284473.svs,1,0,1,0
144484.svs,1,0,0,0
288012.svs,0,0,1,0
265603.svs,1,0,1,1
260288.svs,0,0,0,1
275769.svs,0,0,1,0
132683.svs,0,0,1,0
211705.svs,0,0,1,1
000033578500492484.mrxs,1,0,1,1
353449.svs,0,1,0,0
000034535500588530.mrxs,1,0,1,0
256879.svs,0,0,1,0
140984.svs,0,0,1,0
160099.svs,0,0,1,0
228962.svs,1,0,1,0
344402.svs,0,0,0,0
128254.svs,0,0,1,0
265077.svs,1,1,0,1
144719.svs,1,0,0,0
271120.svs,0,0,1,0
000033650900499694.mrxs,0,1,0,0
000033607700496574.mrxs,0,0,1,0
000034286500561534.mrxs,0,0,1,0
000033368400476480.mrxs,0,0,1,0
146640.svs,0,0,1,0
000034182600550634.mrxs,0,0,1,0
197143.svs,0,0,1,0
202252.svs,0,0,1,0
232047.svs,0,0,1,0
215392.svs,0,0,0,0
254174.svs,0,0,1,0
145680.svs,1,0,0,0
000034335900567000.mrxs,1,0,1,0
285196.svs,0,0,1,0
129052.svs,0,0,1,0
000034135400545785.mrxs,0,0,1,0
000033438800482343.mrxs,0,0,1,0
203424.svs,0,0,1,1
